,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Inventory Part,002-009,Master Link #41,Tax,0,0.6
,Inventory Part,003-001A,4-inch Plastic V-Wheel,Tax,0,50
,Inventory Part,003-005,6' UHMW Guide Roller,Tax,0,23
,Inventory Part,006-001A,Reno Loop Detector,Tax,0,160
,Inventory Part,006-002,Loop Harness,Tax,0,30
,Inventory Part,007-014,3' Spring,Tax,0,140
,Inventory Part,010-010A,TR001 Electric Strike,Tax,0,62
,Inventory Part,013-011,Hydraulic Door Closer,Tax,0,80
,Inventory Part,013-012A,Kant-Slam Door closer,Tax,0,75
,Inventory Part,013-019,Com-lock 1058,Tax,0,15
,Inventory Part,013-033,Key Keeper for USPS use only,Tax,0,50.76
,Inventory Part,019-134,Compact swing gate operator model number Toro24 from All-o-Matic. 3-years warranty.,Tax,0,1900
,Inventory Part,IE-MAGCRD,Magnetic Cards,Tax,0,5.4
,Inventory Part,KANPOLC1CN,Magnetic Cards Polaris,Tax,0,3
,Inventory Part,M1090,Multi-code Radio Receiver,Tax,0,50
,Inventory Part,M1099,Multi-Code Reciver 12Vlt DC,Tax,0,66
,Inventory Part,M3083,Two Button Mini Transmitter,Tax,0,49.6
,Inventory Part,M3089,Multi-code Single Transmitter,Tax,0,20
,Inventory Part,M4100,Keypad 1C,Tax,0,65
,Inventory Part,M4120,Two Button Transmitter,Tax,0,29.98
,Inventory Part,M4200,Transmitter Keypad - Wireless,Tax,0,60
,Inventory Part,MC3083,Two Button Mini Transmitter,Tax,0,49.6
,Inventory Part,Mini-T,Mini-Transmitter A,Tax,0,32
,Inventory Part,N-DT,Single Linear transmitter,Tax,0,28
,Inventory Part,P9921,Single Pulsar Transmitter,Tax,0,29
,Inventory Part,Q013,Elite Idler Sprocket,Tax,0,33
,Inventory Part,Q026,Elite Crank Input,Tax,0,20
,Inventory Part,Q031,Limit Shaft,Tax,0,33
,Inventory Part,Q032,E/Limit Nut,Tax,0,14
,Inventory Part,Q101,Limit Switch Ball Bearing,Tax,0,18.7
,Inventory Part,Q237,Elite Crank Input Metal,Tax,0,17.6
,Inventory Part,Q238,Plastic Swingate Adjustment,Tax,0,14.3
,Non-inventory Part,#260,Castiron Spears.,Tax,,4
,Non-inventory Part,0003-011,Guide Roller Assembly,Tax,,60
,Non-inventory Part,1,SENTEX PARTS,Tax,,0
,Non-inventory Part,001:001-001,Sentex keypad,Tax,,240
,Non-inventory Part,001:001-002,Hand set 29',Tax,,240
,Non-inventory Part,001:001-003,Hand set 42',Tax,,140
,Non-inventory Part,001:001-004,Hand Set Hanger,Tax,,40
,Non-inventory Part,001:001-005,Speaker,Tax,,70
,Non-inventory Part,001:001-006,Directory Light Bulb,Tax,,5
,Non-inventory Part,001:001-007,Postal Lock Kit,Tax,,90
,Non-inventory Part,001:001-008,Lexan Window Luc,Tax,,55
,Non-inventory Part,001:001-009,Lexan Window Lc,Tax,,230
,Non-inventory Part,001:001-010,Lexan Window Suc,Tax,,30
,Non-inventory Part,001:001-011,Lexan Window Sc,Tax,,55
,Non-inventory Part,001:001-012,Set of Keys,Tax,,10
,Non-inventory Part,001:001-013,Factory Board Repair,Tax,,250
,Non-inventory Part,001:001-014,"Goose Neck 3""",Tax,,120
,Non-inventory Part,001:001-015,Vista H/F 20-Capacity,Tax,,1900
,Non-inventory Part,001:001-016,101 Board - New,Tax,,800
,Non-inventory Part,001:001-017,"Goose Neck 2""",Tax,,150
,Non-inventory Part,001:001-018,Crown Jewel,Tax,,1235
,Non-inventory Part,001:001-019,Horizon Control Board,Tax,,947.52
,Non-inventory Part,001:001-020,Vista H/F 40-Capacity,Tax,,2000
,Non-inventory Part,001:001-021,Sentex Vista Face Plate,Tax,,90
,Non-inventory Part,001:001-022,Front Panel with Window,Tax,,485
,Non-inventory Part,001:001-023,Vista H/F 70-Capacity,Tax,,2200
,Non-inventory Part,001:001-024,Phone Cover,Tax,,150
,Non-inventory Part,001:001-025,Flush Mount Vista H/F 40-Capacity,Tax,,2300
,Non-inventory Part,001:001-026,Hand Held Data Programmer,Tax,,140
,Non-inventory Part,001:001-027,Antenna Coax,Tax,,35
,Non-inventory Part,001:001-028,Small Window Red/Clear,Tax,,15
,Non-inventory Part,001:001-029,Set of Instructions,Tax,,5
,Non-inventory Part,001:001-030,LCD Display (Infinity),Tax,,1275
,Non-inventory Part,001:001-031,Directory Inserts,Tax,,5
,Non-inventory Part,001:001-032,Card Reader,Tax,,552.5
,Non-inventory Part,001:001-033,Microphone,Tax,,50
,Non-inventory Part,001:001-034,Ovation Up-grade Package,Tax,,5200
,Non-inventory Part,001:001-035,Flush Mount Horizon Telephone Entry System.,Tax,,2430
,Non-inventory Part,001:001-036,"Intercom, works with phone line.",Tax,,1100
,Non-inventory Part,001:001-037,Dial Code with 150 name memory capacity. Programing soft ware is included.,Tax,,3500
,Non-inventory Part,001:001-038,Horizon Cabinet (no face plate),Tax,,484.5
,Non-inventory Part,001:001-039,Small digital display,Tax,,550
,Non-inventory Part,001:001-040,Doorking Key Pad,Tax,,155
,Non-inventory Part,001:001-041,Sentex Software,Tax,,400
,Non-inventory Part,001:001-042,Infinity L Main Control Board,Tax,,915.75
,Non-inventory Part,001:001-043,Infinity L Sub Control Board,Tax,,675.25
,Non-inventory Part,001:001-044,Dial Code Processor,Tax,,1950
,Non-inventory Part,001:001-045,Infinity L Entry Phone System - 500 Memory Capacity,Tax,,5000
,Non-inventory Part,001:001-046,Wireless phone entry system,Tax,,2837.3
,Non-inventory Part,001:001-047,Antenna extension.,Tax,,250
,Non-inventory Part,001:001-048,"Commercial telephone entry system, 13 line 26 name LCD display with programing soft ware.",Tax,,4830
,Non-inventory Part,001:001-050,Infinity Face Cover,Tax,,625
,Non-inventory Part,001-027,Vista Hands Free 70 Phone Number Capacity,Tax,,2250
,Non-inventory Part,001-039,Control Board - 1812,Tax,,450
,Non-inventory Part,001-049,Fax Modem,Tax,,90
,Non-inventory Part,001-051,Icon-26 with 250 memory capacity.,Tax,,4400
,Non-inventory Part,001-052,Aiphone intercom system with Pan/tilt and Zoom with audio. Hard wire units for out door,Tax,,750
,Non-inventory Part,001-053,Basic intercom unit with door release. 9C-123L),Tax,,450
,Non-inventory Part,001-054,AE1000 telephone entry system.,Tax,,2900
,Non-inventory Part,001-055,Aiphone intercom system with an outdoor camera and three monitor units. Model Numbers HFX-700M o...,Tax,,1400
